公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数
万华化学,2011,CSR,11.9557,0.2442,0.1279,0,5.7565,6.1429,6775,258
万华化学,2011,年报,0.9135,0.3123,0.1064,0,0.2864,34.6008,129169,6333
万华化学,2012,年报,0.7428,0.3001,0.0975,0,0.3082,35.7352,126542,6387
万华化学,2013,年报,0.6838,0.3011,0.0935,0,0.327,35.1747,134544,6599
万华化学,2014,CSR,12.6443,0.31,0.195,0,4.2881,11.5,9095,400
万华化学,2014,年报,0.6766,0.3279,0.0771,0,0.3283,36.1839,149276,6721
万华化学,2015,CSR,14.9805,0.2451,0.0931,0,3.2834,6.4,4873,204
万华化学,2015,年报,0.7274,0.3664,0.1046,0,0.3743,37.3004,141598,5829
万华化学,2016,CSR,11.849,0.3377,0.2078,0,3.6458,12.5333,7680,308
万华化学,2016,年报,1.0184,0.3603,0.1135,1,0.4715,36.673,159071,6406
万华化学,2018,CSR,15.2452,0.237,0.1364,0,5.3214,8.3571,6953,308
万华化学,2018,年报,1.2829,0.3751,0.1171,1,0.2881,37.4429,183959,7352
万华化学,2019,CSR,15.1777,0.19,0.1063,0,3.3029,6.12,12716,442
万华化学,2019,年报,1.5793,0.3928,0.1126,1,0.4687,38.2658,236820,9032
万华化学,2020,CSR,18.7963,0.242,0.125,0,2.6295,7.4762,10268,376
万华化学,2021,CSR,26.5874,0.2297,0.1284,0,4.7687,8.5806,15308,701
万华化学,2022,年报,2.3794,0.3661,0.0949,1,0.5383,38.1516,221060,9186
万华化学,2023,年报,2.5432,0.3576,0.0966,1,0.6944,39.4733,234745,9700
万华化学,2024,年报,3.3352,0.3575,0.0956,1,0.7832,37.9699,232373,9642
中国神华,2011,CSR,4.3737,0.5841,0.1176,0,0.0858,20.7701,93284,2873
中国神华,2011,年报,0.3227,0.7941,0.181,0,0.0,40.0073,272723,7706
中国神华,2012,CSR,3.6721,0.5598,0.1133,0,0.029,21.9275,103484,2842
中国神华,2012,年报,0.3768,0.7911,0.1815,0,0.0,39.7989,278645,8009
中国神华,2013,CSR,6.407,0.2618,0.0993,0,0.0597,11.7164,66958,3476
中国神华,2013,年报,0.4357,0.7984,0.1802,0,0.0,40.8131,275441,8112
中国神华,2014,CSR,6.1458,0.2684,0.0937,0,0.0521,12.6783,57600,3137
中国神华,2014,年报,1.5336,0.4458,0.1635,1,0.2276,32.5644,202145,8349
中国神华,2015,CSR,6.1619,0.2873,0.0908,0,0.0496,12.7769,60533,2997
中国神华,2015,年报,1.4722,0.4472,0.1598,1,0.1343,33.7986,208538,8538
中国神华,2016,CSR,5.5881,0.3016,0.1047,0,0.0388,13.1553,51538,2493
中国神华,2016,年报,1.8783,0.434,0.1607,1,0.1558,31.7597,218287,8848
中国神华,2017,CSR,5.4938,0.3728,0.1103,0,0.0251,18.075,39863,1977
中国神华,2017,年报,1.8052,0.4433,0.1702,1,0.295,32.3172,227120,9090
中国神华,2018,CSR,5.4938,0.3728,0.1103,0,0.0251,18.075,39863,1977
