序号,扩展词汇,相似度,词频,关联种子词,相似度等级
1,努力,1,15,努力,高
2,尽量,1,0,尽量,高
3,致力于,1,6,致力于,高
4,力争,1,3,力争,高
5,有望,1,0,有望,高
6,可能,1,4,可能,高
7,逐步,1,3,逐步,高
8,积极,1,24,积极,高
9,致力,0.86,2,致力于,高
10,预计,0.729,1,有望,中高
11,稳步,0.721,1,逐步,中高
12,预计将,0.7,0,预计,中高
13,有望成为,0.7,0,有望,中高
14,力争实现,0.7,0,力争,中高
15,努力实现,0.7,0,努力,中高
16,尽量减少,0.7,0,尽量,中高
17,逐步推进,0.7,0,逐步,中高
18,积极推进,0.7,0,积极,中高
19,逐步完善,0.7,0,逐步,中高
20,积极开展,0.7,0,积极,中高
21,大力推进,0.65,0,积极,中高
22,着力推进,0.65,0,致力于,中高
23,全力推进,0.65,0,努力,中高
24,大力开展,0.65,0,积极,中高
25,着力打造,0.65,0,致力于,中高
26,努力打造,0.65,0,努力,中高
27,积极打造,0.65,0,积极,中高
28,有望实现,0.65,0,有望,中高
29,力争达到,0.65,0,力争,中高
30,争取实现,0.65,0,力争,中高
31,大概,0.6,0,可能,中
32,大约,0.6,0,可能,中
33,或许,0.6,0,可能,中
34,似乎,0.6,0,可能,中
35,应当,0.6,0,可能,中
36,应该,0.6,0,可能,中
37,可以,0.6,0,可能,中
38,将会,0.6,0,可能,中
39,能够,0.6,0,可能,中
40,希望,0.6,0,力争,中
41,力求,0.6,0,力争,中
42,争取,0.6,0,力争,中
43,一定程度上,0.55,0,可能,中
44,一定范围内,0.55,0,可能,中
45,相对,0.55,0,可能,中
46,较为,0.55,0,可能,中
47,比较,0.55,0,可能,中
48,适当,0.55,0,可能,中
49,适度,0.55,0,可能,中
50,有望在,0.55,0,有望,中
51,有望于,0.55,0,有望,中
52,预计在,0.55,0,预计,中
53,预计于,0.55,0,预计,中
54,逐步实现,0.55,0,逐步,中
55,逐步建立,0.55,0,逐步,中
56,逐步形成,0.55,0,逐步,中
57,逐步完善,0.55,0,逐步,中
58,逐步提升,0.55,0,逐步,中
59,积极探索,0.55,0,积极,中
60,积极参与,0.55,0,积极,中
61,积极发展,0.55,0,积极,中
62,积极推动,0.55,0,积极,中
63,努力探索,0.55,0,努力,中
64,努力发展,0.55,0,努力,中
65,努力推动,0.55,0,努力,中
66,力争上游,0.55,0,力争,中
67,力争突破,0.55,0,力争,中
68,力争创新,0.55,0,力争,中
69,尽可能,0.55,0,尽量,中
70,尽量做到,0.55,0,尽量,中
71,尽量减少,0.55,0,尽量,中
72,尽量降低,0.55,0,尽量,中
73,致力于发展,0.55,0,致力于,中
74,致力于建设,0.55,0,致力于,中
75,致力于提升,0.55,0,致力于,中
76,致力于完善,0.55,0,致力于,中
77,有望达成,0.55,0,有望,中
78,有望取得,0.55,0,有望,中
79,有望达到,0.55,0,有望,中
80,有望实现,0.55,0,有望,中
