公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数,来源
ST晨鸣,2013,年报,0.8775,0.0229,0.5106,0,0.2994,0.0021,240453,8882,同学A
ST晨鸣,2014,年报,0.7645,0.0256,0.5025,0,0.211,0.0023,213222,7508,同学A
ST晨鸣,2018,年报,1.4578,0.024,0.5152,1,0.3013,0.0204,245580,8744,同学A
ST晨鸣,2019,年报,1.6617,0.0222,0.5049,1,0.4472,0.0226,243731,9016,同学A
ST晨鸣,2020,年报,1.7597,0.0249,0.5049,0,0.4103,0.0099,253458,9197,同学A
ST晨鸣,2021,年报,1.8532,0.0237,0.5108,1,0.4078,0.0121,247680,9249,同学A
ST晨鸣,2022,CSR,0.0,0.0,0.0,0,0.0,0.0,66,1,同学A
ST晨鸣,2023,CSR,18.2191,0.0326,0.253,1,3.2119,0.0278,36116,1597,同学A
ST晨鸣,2023,年报,1.999,0.0235,0.4786,0,0.3489,0.0073,275133,10511,同学A
ST晨鸣,2024,CSR,16.5364,0.0291,0.2286,0,2.1069,0.0244,40819,1785,同学A
中国石化,2013,年报,1.8889,0.0308,0.5186,1,0.1648,0.0245,224468,9151,同学A
中国石化,2014,年报,2.2899,0.027,0.5086,1,0.1502,0.0101,246303,10094,同学A
中国石化,2015,年报,2.3161,0.0276,0.5057,1,0.1937,0.0084,237471,9744,同学A
中国石化,2016,年报,2.4089,0.0331,0.4918,1,0.1508,0.0105,238695,9886,同学A
中国石化,2017,年报,2.6287,0.033,0.4948,1,0.1755,0.0104,239283,9973,同学A
中国石化,2018,年报,2.538,0.0325,0.4913,1,0.2089,0.0138,253739,10505,同学A
中国石化,2019,年报,0.2553,0.0119,0.7959,1,0.0452,0.0025,1194584,9570,同学A
中国石化,2020,CSR,23.3795,0.0386,0.2396,1,1.4018,0.1452,62063,2955,同学A
中国石化,2020,年报,2.534,0.0297,0.488,1,0.2723,0.0237,253356,10362,同学A
中国石化,2021,CSR,21.7939,0.0417,0.2221,1,1.6185,0.1235,80940,3525,同学A
中国石化,2021,年报,2.9171,0.0286,0.4887,1,0.2749,0.0229,261906,10852,同学A
中国石化,2022,CSR,20.9771,0.0509,0.3224,0,1.4614,0.1236,88954,3086,同学A
中国石化,2022,年报,3.0942,0.0301,0.4933,1,0.2882,0.0228,263716,10698,同学A
中国石化,2023,CSR,20.7141,0.0449,0.3438,1,1.3426,0.117,93849,3455,同学A
中国石化,2023,年报,3.1363,0.0298,0.4941,1,0.2611,0.0217,275805,11302,同学A
中国石化,2024,CSR,20.3158,0.0466,0.371,1,1.5271,0.0955,110013,4014,同学A
中国石化,2024,年报,3.0674,0.029,0.4756,1,0.2517,0.0182,274173,11389,同学A
云南白药,2013,CSR,12.6383,0.0326,0.2951,0,3.2131,0.0536,28010,1657,同学A
云南白药,2013,年报,1.2062,0.0235,0.4729,0,0.4414,0.0466,160842,6600,同学A
云南白药,2014,CSR,12.6357,0.0245,0.1788,0,3.1253,0.1081,37117,2243,同学A
云南白药,2014,年报,1.1412,0.0244,0.4824,0,0.5764,0.0408,171743,7341,同学A
云南白药,2015,CSR,10.7642,0.0183,0.1934,0,3.3029,0.0099,50259,4482,同学A
云南白药,2015,年报,1.2109,0.0231,0.4645,0,0.5537,0.0456,164341,7106,同学A
云南白药,2016,CSR,11.8628,0.0308,0.2267,1,2.4818,0.0,40294,2373,同学A
云南白药,2016,年报,1.2014,0.0245,0.4792,0,0.5149,0.0486,174801,7155,同学A
云南白药,2017,CSR,11.3005,0.0337,0.2058,1,2.4778,0.0116,43184,2225,同学A
云南白药,2017,年报,1.2123,0.0288,0.4489,0,0.6062,0.0386,181468,7115,同学A
云南白药,2018,CSR,8.7947,0.0393,0.2909,1,2.2843,0.0143,35021,1554,同学A
云南白药,2019,CSR,7.765,0.032,0.3202,1,2.4048,0.0,34514,1499,同学A
云南白药,2021,CSR,11.9089,0.041,0.2841,0,2.7705,0.0,48367,1999,同学A
云南白药,2021,年报,1.7576,0.0254,0.4768,0,0.6542,0.0035,282773,9990,同学A
云南白药,2022,CSR,0.0,0.0,0.2747,0,0.0,0.0,217633,2483,同学A
云南白药,2022,年报,1.6707,0.0255,0.4314,0,0.7444,0.0034,291494,11517,同学A
云南白药,2023,CSR,0.0074,0.0,0.258,0,0.0,0.0019,270044,3551,同学A
云南白药,2023,年报,2.2666,0.0274,0.4353,0,0.9203,0.012,248826,9624,同学A
云南白药,2024,CSR,20.6772,0.0488,0.2285,0,3.5353,0.0137,72979,3112,同学A
云南白药,2024,年报,2.2958,0.0216,0.4337,0,0.8907,0.025,260476,10532,同学A
华孚时尚,2013,CSR,10.3911,0.0649,0.3013,1,2.222,0.0656,30603,1248,同学A
华孚时尚,2014,年报,0.5709,0.0231,0.4821,0,0.1622,0.0065,154134,6702,同学A
华孚时尚,2015,CSR,10.8722,0.0675,0.2987,1,1.7405,0.0238,41942,1674,同学A
华孚时尚,2015,年报,0.4181,0.0294,0.4588,0,0.209,0.0,4784,170,同学A
华孚时尚,2016,CSR,10.5551,0.0582,0.293,1,2.794,0.0423,35433,1461,同学A
华孚时尚,2016,年报,0.3449,0.0096,0.3974,0,0.1725,0.0,5798,312,同学A
华孚时尚,2017,CSR,11.8477,0.0566,0.2958,1,2.2317,0.0328,30470,1271,同学A
华孚时尚,2017,年报,0.4006,0.0227,0.4848,1,0.1045,0.0058,172221,7473,同学A
华孚时尚,2018,CSR,12.3759,0.0555,0.3143,1,2.1988,0.0781,31836,1279,同学A
华孚时尚,2018,年报,0.6887,0.0231,0.4907,0,0.1024,0.0057,175699,7658,同学A
华孚时尚,2019,CSR,11.5445,0.0638,0.3206,0,2.1989,0.1077,32743,1332,同学A
华孚时尚,2019,年报,0.7026,0.0251,0.4735,1,0.2166,0.0079,189304,8406,同学A
华孚时尚,2020,CSR,13.8449,0.0554,0.31,0,2.5012,0.1404,28386,1155,同学A
华孚时尚,2020,年报,0.9534,0.0528,0.4824,0,0.4767,0.2,12587,568,同学A
华孚时尚,2021,CSR,13.948,0.0603,0.3122,0,2.5593,0.127,31259,1278,同学A
华孚时尚,2021,年报,0.8492,0.0252,0.4559,0,0.1833,0.0024,207258,9453,同学A
华孚时尚,2022,CSR,14.1427,0.0621,0.3156,0,1.8857,0.1636,27576,1128,同学A
华孚时尚,2022,年报,1.0209,0.0235,0.4374,0,0.2226,0.0121,206677,10286,同学A
华孚时尚,2023,CSR,14.0447,0.0648,0.3026,0,1.8703,0.1579,28338,1173,同学A
华孚时尚,2023,年报,0.9355,0.0213,0.434,0,0.2021,0.0094,212717,10873,同学A
华孚时尚,2024,CSR,13.9573,0.0696,0.2926,0,2.0546,0.1607,28229,1179,同学A
华孚时尚,2024,年报,0.9322,0.0228,0.432,0,0.2895,0.0098,203827,10302,同学A
华新建材,2013,年报,5.0838,0.0233,0.5882,0,0.1093,0.0,155592,5716,同学A
华新建材,2014,年报,3.8146,0.0209,0.5371,0,0.1554,0.0032,154407,5694,同学A
华新建材,2015,年报,3.7595,0.0154,0.4716,0,0.2325,0.0066,150550,6171,同学A
华新建材,2016,年报,4.3832,0.0192,0.4936,0,0.1378,0.0063,159700,6090,同学A
华新建材,2017,年报,4.2923,0.0197,0.4583,1,0.2231,0.0147,170304,7063,同学A
华新建材,2018,CSR,4.0653,0.0293,0.271,0,0.2888,0.0342,131600,2048,同学A
华新建材,2018,年报,4.9366,0.0202,0.4897,1,0.3526,0.003,167321,6865,同学A
华新建材,2019,CSR,4.5507,0.0273,0.3141,1,0.2859,0.0208,167885,2604,同学A
华新建材,2019,年报,4.4379,0.0203,0.4932,1,0.4203,0.0112,178463,7324,同学A
华新建材,2020,CSR,0.0,0.0,0.0,0,0.0,0.0,108,1,同学A
华新建材,2020,年报,4.8913,0.0236,0.4914,1,0.3745,0.014,178889,7334,同学A
华新建材,2021,CSR,4.6855,0.0232,0.3074,0,0.3736,0.0149,133817,2238,同学A
华新建材,2021,年报,4.6862,0.0192,0.4946,1,0.3734,0.0068,219582,9222,同学A
华新建材,2022,CSR,25.0157,0.0416,0.3291,0,2.6439,0.0833,54086,2069,同学A
华新建材,2022,年报,4.3855,0.0204,0.4863,1,0.3641,0.0053,186753,7640,同学A
华新建材,2023,年报,4.2166,0.0188,0.4781,1,0.4137,0.015,200635,8478,同学A
华新建材,2024,CSR,21.9389,0.0502,0.3251,0,2.4317,0.0537,74434,2867,同学A
华新建材,2024,年报,5.1683,0.0185,0.4544,1,0.4944,0.0077,196195,8501,同学A
复星医药,2013,CSR,8.9346,0.0327,0.3284,1,1.3859,0.0175,114723,4777,同学A
复星医药,2013,年报,0.8227,0.0173,0.5142,1,0.3291,0.0,230935,8893,同学A
复星医药,2014,CSR,11.5268,0.0293,0.313,1,1.1999,0.016,125013,5623,同学A
复星医药,2014,年报,0.0,0.0,0.3143,0,0.0,0.0,974,35,同学A
复星医药,2015,CSR,11.5795,0.0307,0.3928,1,1.2006,0.0426,152425,6354,同学A
复星医药,2016,CSR,10.3324,0.0315,0.4198,1,1.1319,0.0443,158144,6100,同学A
复星医药,2016,年报,1.2176,0.0212,0.4997,1,0.5149,0.0,287447,11162,同学A
复星医药,2017,CSR,10.1868,0.0271,0.439,1,1.7176,0.0627,151373,6078,同学A
复星医药,2017,年报,5.0569,0.0345,0.4828,0,0.0,0.0,791,29,同学A
复星医药,2018,CSR,12.1831,0.032,0.3563,1,2.2576,0.1104,77074,3216,同学A
复星医药,2018,年报,1.4184,0.0225,0.4641,0,0.7844,0.0044,339113,13088,同学A
复星医药,2019,CSR,0.7088,0.0019,0.5167,0,0.0699,0.09,100164,3596,同学A
复星医药,2020,CSR,0.5884,0.002,0.5135,0,0.0398,0.0675,125768,4502,同学A
复星医药,2021,CSR,0.5637,0.0012,0.5028,0,0.0342,0.1026,117092,4238,同学A
复星医药,2022,CSR,0.3324,0.0004,0.5197,0,0.0378,0.1094,132373,4630,同学A
复星医药,2022,年报,1.5185,0.0208,0.483,1,0.6869,0.0151,331915,12465,同学A
复星医药,2023,CSR,13.9858,0.0272,0.2486,0,2.2132,0.1349,107538,5740,同学A
复星医药,2023,年报,1.694,0.021,0.4478,1,0.8846,0.011,318773,12291,同学A
天山股份,2013,CSR,21.0481,0.0657,0.2214,0,2.3869,0.0556,9217,411,同学A
天山股份,2013,年报,4.4406,0.0135,0.4996,0,0.0747,0.0136,147279,6954,同学A
天山股份,2014,年报,3.8691,0.0161,0.5207,0,0.1115,0.0098,152489,7281,同学A
天山股份,2015,年报,4.3784,0.0145,0.5085,0,0.1552,0.0101,148229,7015,同学A
天山股份,2016,年报,4.5481,0.0165,0.4907,0,0.1819,0.0101,148415,6742,同学A
天山股份,2017,年报,5.8272,0.0194,0.4828,0,0.229,0.0151,165947,7373,同学A
天山股份,2018,年报,6.2519,0.0162,0.4737,1,0.2706,0.0115,173707,8160,同学A
天山股份,2019,年报,6.8439,0.0191,0.5054,1,0.3257,0.0749,193457,7792,同学A
天山股份,2021,年报,10.8209,0.0128,0.5055,1,0.2522,0.0453,408468,19666,同学A
天山股份,2022,CSR,29.8964,0.0546,0.3021,1,2.0523,0.0495,50675,2089,同学A
天山股份,2023,CSR,27.2494,0.0573,0.29,0,3.5024,0.0758,66240,2393,同学A
天山股份,2024,CSR,27.8871,0.061,0.2398,0,1.7117,0.1184,75949,2723,同学A
太阳纸业,2013,CSR,16.6087,0.0758,0.2559,0,0.5794,0.0,5178,211,同学A
太阳纸业,2014,CSR,18.0219,0.0906,0.2826,0,0.8514,0.0,7047,276,同学A
太阳纸业,2014,年报,1.0972,0.0211,0.4733,0,0.355,0.0215,185932,7332,同学A
太阳纸业,2015,CSR,13.3154,0.0771,0.2698,0,1.9123,0.0357,14119,493,同学A
太阳纸业,2015,年报,0.3115,0.0175,0.5592,0,0.0,0.0,12841,456,同学A
太阳纸业,2017,CSR,21.6718,0.0502,0.3222,0,1.4073,0.2857,14212,658,同学A
太阳纸业,2017,年报,1.6985,0.0259,0.4637,0,0.4151,0.031,209595,8624,同学A
太阳纸业,2018,CSR,20.3287,0.0493,0.3313,0,1.5431,0.0667,14905,670,同学A
太阳纸业,2018,年报,1.8058,0.0253,0.4686,0,0.3993,0.0181,220396,9089,同学A
太阳纸业,2019,CSR,17.4039,0.0552,0.311,0,1.8849,0.1875,15916,688,同学A
太阳纸业,2019,年报,1.7322,0.0243,0.4729,0,0.4645,0.0174,230345,9601,同学A
太阳纸业,2020,CSR,15.3956,0.0629,0.3013,1,1.8532,0.0357,14030,604,同学A
太阳纸业,2020,年报,1.8974,0.0214,0.4621,0,0.539,0.0307,228213,9693,同学A
太阳纸业,2021,CSR,13.3092,0.0573,0.2715,0,2.6243,0.0312,16004,663,同学A
太阳纸业,2021,年报,2.0146,0.0216,0.4584,0,0.5622,0.0098,256131,10756,同学A
太阳纸业,2022,CSR,16.1685,0.0403,0.2888,1,2.8593,0.1134,48613,2206,同学A
太阳纸业,2022,年报,2.3297,0.0213,0.4367,1,0.6147,0.0098,255398,11824,同学A
太阳纸业,2023,年报,2.1264,0.0202,0.4415,1,0.612,0.0078,254886,11782,同学A
太阳纸业,2024,年报,2.416,0.0202,0.4308,1,0.6342,0.0078,257033,11977,同学A
山鹰国际,2013,年报,0.907,0.0148,0.4832,1,0.1799,0.0,133404,5555,同学A
山鹰国际,2014,年报,0.992,0.016,0.4949,1,0.1488,0.0,141136,5692,同学A
山鹰国际,2015,年报,1.0424,0.015,0.4462,1,0.2437,0.0,147735,6529,同学A
山鹰国际,2016,年报,1.7086,0.0145,0.4654,1,0.2199,0.0,177338,7812,同学A
山鹰国际,2017,年报,1.3427,0.0135,0.4631,0,0.23,0.0047,213007,9339,同学A
山鹰国际,2019,CSR,16.791,0.0261,0.2947,1,2.2974,0.0986,35257,1571,同学A
山鹰国际,2019,年报,1.6413,0.0223,0.4312,0,0.4673,0.002,254679,11708,同学A
山鹰国际,2020,CSR,21.5164,0.0347,0.2478,0,2.1005,0.0429,35229,1727,同学A
山鹰国际,2020,年报,4.2644,0.0,0.4754,0,0.0,0.0,1407,61,同学A
山鹰国际,2022,CSR,19.9878,0.0314,0.2363,0,1.9233,0.045,55634,2484,同学A
山鹰国际,2022,年报,2.2327,0.0199,0.4789,1,0.4557,0.0063,239173,9666,同学A
山鹰国际,2023,年报,2.5909,0.0176,0.4572,1,0.4838,0.004,250110,10404,同学A
山鹰国际,2024,CSR,21.219,0.0485,0.245,1,1.7519,0.0654,76488,2926,同学A
山鹰国际,2024,年报,2.9123,0.019,0.4585,1,0.5007,0.004,249629,10163,同学A
恒力石化,2013,年报,0.3817,0.0245,0.4234,0,0.2909,0.0045,110021,4853,同学A
恒力石化,2014,年报,0.4349,0.0236,0.4122,0,0.1087,0.0,119573,5286,同学A
