doc_id,stock_code,company_name,report_type,year,penalty_year,title,publish_date,pdf_url,local_pdf_path,download_status,error_message
000401_esg_2013_c070160e,000401,唐山冀东水泥股份有限公司,esg,2013,,2013年度社会责任报告,2014-04-15,http://static.cninfo.com.cn/finalpage/2014-04-15/63839523.PDF,000401_金隅冀东\pdf\000401_2013_CSR.pdf,success,
000401_annual_2013_e469dfdd,000401,唐山冀东水泥股份有限公司,annual,2013,,2013年年度报告,2014-04-15,http://static.cninfo.com.cn/finalpage/2014-04-15/63839496.PDF,000401_金隅冀东\pdf\000401_2013_年报.pdf,success,
000401_annual_2014_4af69603,000401,唐山冀东水泥股份有限公司,annual,2014,,2014年年度报告,2015-04-14,http://static.cninfo.com.cn/finalpage/2015-04-14/1200826167.PDF,000401_金隅冀东\pdf\000401_2014_年报.pdf,success,
000401_esg_2014_ab95a308,000401,唐山冀东水泥股份有限公司,esg,2014,,2014年度社会责任报告,2015-04-14,http://static.cninfo.com.cn/finalpage/2015-04-14/1200826172.PDF,000401_金隅冀东\pdf\000401_2014_CSR.pdf,success,
000401_annual_2015_989ef3d3,000401,唐山冀东水泥股份有限公司,annual,2015,,2015年年度报告,2016-04-12,http://static.cninfo.com.cn/finalpage/2016-04-12/1202162448.PDF,000401_金隅冀东\pdf\000401_2015_年报.pdf,success,
000401_esg_2016_203a1567,000401,唐山冀东水泥股份有限公司,esg,2016,,2016年度社会责任报告,2017-03-23,http://static.cninfo.com.cn/finalpage/2017-03-23/1203186346.PDF,000401_金隅冀东\pdf\000401_2016_CSR.pdf,success,
000401_esg_2017_3548a1f1,000401,唐山冀东水泥股份有限公司,esg,2017,,2017年度社会责任报告,2018-03-23,http://static.cninfo.com.cn/finalpage/2018-03-23/1204506072.PDF,000401_金隅冀东\pdf\000401_2017_CSR.pdf,success,
000401_annual_2018_a7485286,000401,唐山冀东水泥股份有限公司,annual,2018,,2018年年度报告,2019-03-21,http://static.cninfo.com.cn/finalpage/2019-03-21/1205921805.PDF,000401_金隅冀东\pdf\000401_2018_年报.pdf,success,
000401_esg_2018_9be0c6f3,000401,唐山冀东水泥股份有限公司,esg,2018,,2018年度社会责任报告,2019-03-21,http://static.cninfo.com.cn/finalpage/2019-03-21/1205921788.PDF,000401_金隅冀东\pdf\000401_2018_CSR.pdf,success,
000401_esg_2019_459e041f,000401,唐山冀东水泥股份有限公司,esg,2019,,2019年度社会责任报告,2020-03-19,http://static.cninfo.com.cn/finalpage/2020-03-19/1207383176.PDF,000401_金隅冀东\pdf\000401_2019_CSR.pdf,success,
000401_annual_2019_2c0e6690,000401,唐山冀东水泥股份有限公司,annual,2019,,2019年年度报告,2020-04-10,http://static.cninfo.com.cn/finalpage/2020-04-10/1207471843.PDF,000401_金隅冀东\pdf\000401_2019_年报.pdf,success,
000401_esg_2020_849e488f,000401,唐山冀东水泥股份有限公司,esg,2020,,2020年度社会责任报告,,,000401_金隅冀东\pdf\000401_2020_CSR.pdf,success,
000401_esg_2021_bbacac41,000401,唐山冀东水泥股份有限公司,esg,2021,,2021年度社会责任报告,,,000401_金隅冀东\pdf\000401_2021_CSR.pdf,success,
000401_annual_2022_68863a00,000401,唐山冀东水泥股份有限公司,annual,2022,,2022年年度报告,2023-03-29,http://static.cninfo.com.cn/finalpage/2023-03-29/1216245883.PDF,000401_金隅冀东\pdf\000401_2022_年报.pdf,success,
